2025-01-22 12:04:54 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.4.1.Final} (Line: 46)
2025-01-22 12:04:54 [main] WARN  org.hibernate.orm.deprecation - HHH90000012: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/hibernate-configuration. Use namespace http://www.hibernate.org/dtd/hibernate-configuration instead.  Support for obsolete DTD/XSD namespaces may be removed at any time. (Line: 91)
2025-01-22 12:04:55 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final} (Line: 49)
2025-01-22 12:04:55 [main] WARN  org.hibernate.orm.connections.pooling - HHH10001002: Using Hibernate built-in connection pool (not for production use!) (Line: 72)
2025-01-22 12:04:55 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001005: using driver [com.mysql.cj.jdbc.Driver] at URL [jdbc:mysql://10.10.44.43:3306/ops_db] (Line: 115)
2025-01-22 12:04:55 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001001: Connection properties: {user=root, password=****} (Line: 124)
2025-01-22 12:04:55 [main] INFO  org.hibernate.orm.connections.pooling - HHH10001003: Autocommit mode: false (Line: 129)
2025-01-22 12:04:55 [main] INFO  org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl - HHH000115: Hibernate connection pool size: 20 (min=1) (Line: 239)
2025-01-22 12:04:56 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect (Line: 158)
2025-01-22 12:04:56 [main] INFO  org.hibernate.tuple.PojoInstantiator - HHH000182: No default (no-argument) constructor for class: com.corent.ticketbooking.Ticket (class must be instantiated by Interceptor) (Line: 47)
2025-01-22 12:05:07 [main] INFO  com.corent.ticketbooking.ManageTickets - Booking tickets. Passenger count: 1 (Line: 32)
2025-01-22 12:05:26 [main] INFO  com.corent.ticketbooking.ManageTickets - Ticket booked successfully for passenger: Aravind with ID: 2 (Line: 64)
